セクション,セクション_ja,項目,項目_ja,2026年モデル 3000万台記念 280TSI DSG コンフォート,2026年モデル 3000万台記念 280TSI DSG ラグジュアリー,2026年モデル 3000万台記念 380TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG コンフォート,2025年モデル 改良版 众享 280TSI DSG ラグジュアリー,2025年モデル 众享 280TSI DSG ラグジュアリー,2025年モデル 改良版2 众享 330TSI DSG ラグジュアリー,2025年モデル 改良版 众享 330TSI DSG ラグジュアリー,2025年モデル 众享 330TSI DSG ラグジュアリー,2024年モデル 300TSI DSG プレミアムエディション,2024年モデル 300TSI DSG プレミアムエディション アピアランスパッケージ,2024年モデル 380TSI DSG プレミアムプラスエディション,2024年モデル 380TSI DSG プレミアムプラスエディション 大迈パッケージ,2024年モデル 380TSI DSG プラチナエディション
基本参数,基本仕様,车身结构,ボディ構造,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン,4ドア5人乗りセダン
基本参数,基本仕様,发动机,エンジン,1.4T 150馬力 L4,1.4T 150馬力 L4,2.0T 220馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,1.4T 150馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,2.0T 186馬力 L4,1.5T 160馬力 L4,1.5T 160馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4,2.0T 220馬力 L4
基本参数,基本仕様,长*宽*高(mm),全長×全幅×全高(mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4866×1832×1479 (mm),4990×1854×1487 (mm),4990×1854×1487 (mm),4990×1854×1487 (mm),4990×1854×1487 (mm),4990×1854×1487 (mm)
基本参数,基本仕様,官方0-100km/h加速(s),公式0-100km/h加速(s),9.4,9.4,7.5,9.4,9.4,9.4,9.4,8.9,8.9,8.9,9.1,9.1,7.3,7.4,7.4
基本参数,基本仕様,最高车速(km/h),最高速度(km/h),210,210,210,210,210,210,210,210,210,210,210,210,210,210,210
基本参数,基本仕様,WLTC综合油耗(L/100km),WLTC総合燃費(L/100km),6.23,6.23,6.72,6.23,6.23,6.23,6.23,6.38,6.38,6.38,5.80,5.80,6.66,6.71,6.71
基本参数,基本仕様,整车质保,車両保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証,● 3年または10万km保証
基本参数,基本仕様,整备质量(kg),車両重量(kg),1452,1452,1576,1452,1452,1452,1452,1559,1559,1559,1544,1583,1649,1684,1684
基本参数,基本仕様,最大满载质量(kg),最大積載質量(kg),1920,1920,2050,1920,1920,1920,1920,2030,2030,2030,2030,2030,2130,2130,2130
车身,車体,长度(mm),全長(mm),4866,4866,4866,4866,4866,4866,4866,4866,4866,4866,4990,4990,4990,4990,4990
车身,車体,宽度(mm),全幅(mm),1832,1832,1832,1832,1832,1832,1832,1832,1832,1832,1854,1854,1854,1854,1854
车身,車体,高度(mm),全高(mm),1479,1479,1479,1479,1479,1479,1479,1479,1479,1479,1487,1487,1487,1487,1487
车身,車体,轴距(mm),ホイールベース(mm),2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871,2871
车身,車体,前轮距(mm),前トレッド(mm),1584,1584,1584,1584,1584,1584,1584,1584,1584,1584,1586,1586,1586,1586,1586
车身,車体,后轮距(mm),後トレッド(mm),1570,1570,1570,1570,1570,1570,1570,1570,1570,1570,1572,1572,1572,1572,1572
车身,車体,接近角(°),アプローチアングル(°),16,16,16,16,16,16,16,16,16,16,13,13,13,13,13
车身,車体,离去角(°),デパーチャーアングル(°),14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
车身,車体,车身结构,ボディ構造,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン,セダン
车身,車体,车门开启方式,ドア開閉方式,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア,ヒンジドア
车身,車体,车门数(个),ドア数(枚),● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4,● 4
车身,車体,座位数(个),乗車定員(名),● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5,● 5
车身,車体,油箱容积(L),燃料タンク容量(L),66,66,66,66,66,66,66,66,66,66,69,69,69,69,69
车身,車体,后备厢容积(L),トランク容量(L),533,533,533,533,533,533,533,533,533,533,520,520,520,520,508
车身,車体,风阻系数(Cd),空気抵抗係数(Cd),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
发动机,エンジン,发动机型号,エンジン型式,EA211-DLE,EA211-DLE,EA888-DTJ,EA211-DLE,EA211-DLE,EA211-DLE,EA211-DLE,EA888-DTH,EA888-DTH,EA888-DTH,DSV,DSV,DTJ,DTJ,DTJ
发动机,エンジン,排量(mL),排気量(mL),1395,1395,1984,1395,1395,1395,1395,1984,1984,1984,1498,1498,1984,1984,1984
发动机,エンジン,排量(L),排気量(L),1.4,1.4,2.0,1.4,1.4,1.4,1.4,2.0,2.0,2.0,1.5,1.5,2.0,2.0,2.0
发动机,エンジン,进气形式,過給形式,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー,ターボチャージャー
发动机,エンジン,发动机布局,エンジン配置,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン,横置エンジン
发动机,エンジン,气缸排列形式,シリンダー配列,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L
发动机,エンジン,气缸数(个),シリンダー数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,每缸气门数(个),1気筒あたりバルブ数(個),4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
发动机,エンジン,配气机构,バルブ機構,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC,DOHC
发动机,エンジン,最大马力(Ps),最高出力(Ps),150,150,220,150,150,150,150,186,186,186,160,160,220,220,220
发动机,エンジン,最大功率(kW),最大出力(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
发动机,エンジン,最大功率转速(rpm),最大出力発生回転数(rpm),5000-6000,5000-6000,4900-6700,5000-6000,5000-6000,5000-6000,5000-6000,4150-6000,4150-6000,4150-6000,5500,5500,4900-6700,4900-6700,4900-6700
发动机,エンジン,最大扭矩(N·m),最大トルク(N·m),250,250,350,250,250,250,250,320,320,320,250,250,350,350,350
发动机,エンジン,最大扭矩转速(rpm),最大トルク発生回転数(rpm),1750-3000,1750-3000,1600-4300,1750-3000,1750-3000,1750-3000,1750-3000,1600-4050,1600-4050,1600-4050,1750-4000,1750-4000,1600-4300,1600-4300,1600-4300
发动机,エンジン,最大净功率(kW),最大出力(kW),110,110,162,110,110,110,110,137,137,137,118,118,162,162,162
发动机,エンジン,能源类型,エネルギータイプ,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン,ガソリン
发动机,エンジン,燃油标号,燃料オクタン価,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン,95オクタン
发动机,エンジン,供油方式,燃料供給方式,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴,直噴
发动机,エンジン,缸盖材料,シリンダーヘッド材質,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金,アルミ合金
发动机,エンジン,缸体材料,シリンダーブロック材質,アルミ合金,アルミ合金,鋳鉄,アルミ合金,アルミ合金,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄,アルミ合金,アルミ合金,鋳鉄,鋳鉄,鋳鉄
发动机,エンジン,环保标准,環境基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準,国VI排ガス基準
变速箱,トランスミッション,简称,略称,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速乾式デュアルクラッチ,7速乾式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ,7速湿式デュアルクラッチ
变速箱,トランスミッション,挡位个数,段数,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
变速箱,トランスミッション,变速箱类型,トランスミッション形式,乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),乾式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT),湿式デュアルクラッチトランスミッション(DCT)
底盘转向,シャシー・ステアリング,驱动方式,駆動方式,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動,● 前置前輪駆動
底盘转向,シャシー・ステアリング,前悬架类型,フロントサスペンション形式,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション,● マクファーソン独立サスペンション
底盘转向,シャシー・ステアリング,后悬架类型,リヤサスペンション形式,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション,● マルチリンク独立サスペンション
底盘转向,シャシー・ステアリング,助力类型,パワーステアリング形式,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング,● 電動パワーステアリング
底盘转向,シャシー・ステアリング,车体结构,車体構造,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ,モノコックボディ
车轮制动,ホイール・ブレーキ,前制动器类型,フロントブレーキ形式,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク,● ベンチレーテッドディスク
车轮制动,ホイール・ブレーキ,后制动器类型,リヤブレーキ形式,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ,● ディスクブレーキ
车轮制动,ホイール・ブレーキ,驻车制动类型,パーキングブレーキ形式,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ,● 電子パーキングブレーキ
车轮制动,ホイール・ブレーキ,前轮胎规格,フロントタイヤサイズ,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/55 R17,225/55 R17 245/45 R18（2000元）,225/55 R17 245/45 R18（2000元）,245/45 R18 245/40 R19（2000元）,● 245/40 R19
车轮制动,ホイール・ブレーキ,后轮胎规格,リヤタイヤサイズ,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 215/55 R17,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 235/45 R18,● 225/55 R17,225/55 R17 245/45 R18,225/55 R17 245/45 R18,245/45 R18 245/40 R19,● 245/40 R19
车轮制动,ホイール・ブレーキ,备胎规格,スペアタイヤ仕様,○ フルサイズではない,○ フルサイズではない,○ フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,● フルサイズではない,○ フルサイズではない（500元）,○ フルサイズではない（500元）,○ フルサイズではない（500元）,○ フルサイズではない（500元）,○ フルサイズではない（500元）
车轮制动,ホイール・ブレーキ,备胎放置方式,スペアタイヤ設置方法,○ トランク内,○ トランク内,○ トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,● トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内,○ トランク内
被动安全,衝突安全,主/副驾驶座安全气囊,運転席/助手席エアバッグ,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席,● 運転席/助手席
被动安全,衝突安全,前/后排侧气囊,前/後席サイドエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,前/后排头部气囊(气帘),前/後席カーテンエアバッグ,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
被动安全,衝突安全,膝部气囊,ニーエアバッグ,-,-,-,-,-,-,-,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,● 運転席膝部エアバッグ,-,-,-,-,-
被动安全,衝突安全,前排中间气囊,フロントセンターエアバッグ,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
被动安全,衝突安全,被动行人保护,歩行者保護(受動),-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
主动安全,アクティブセーフティ,ABS防抱死,ABS,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,制动力分配(EBD/CBC等),EBD/CBC,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,刹车辅助(EBA/BAS/BA等),ブレーキアシスト(EBA/BAS/BA),●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,牵引力控制(ASR/TCS/TRC等),トラクションコントロール,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车身稳定控制(ESC/ESP/DSC等),横滑り防止装置,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,胎压监测功能,タイヤ空気圧監視,● タイヤ空気圧警報,タイヤ空気圧警報 タイヤ空気圧表示,● タイヤ空気圧警報,タイヤ空気圧警報 タイヤ空気圧表示,● タイヤ空気圧警報,タイヤ空気圧警報 タイヤ空気圧表示,タイヤ空気圧警報 タイヤ空気圧表示,● タイヤ空気圧警報,● タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧警報,タイヤ空気圧警報 タイヤ空気圧表示,タイヤ空気圧警報 タイヤ空気圧表示,● タイヤ空気圧表示,● タイヤ空気圧表示
主动安全,アクティブセーフティ,安全带未系提醒,シートベルト非着用警告,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 前席,● 全車,● 全車
主动安全,アクティブセーフティ,ISOFIX儿童座椅接口,ISOFIXチャイルドシート固定具,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
主动安全,アクティブセーフティ,车道偏离预警系统,レーンディパーチャー警報,-,○,●,○,-,○,○,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,主动刹车/主动安全系统,自動緊急ブレーキ(AEB),○,○,●,○,○,○,○,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,疲劳驾驶提示,ドライバー疲労警報,●,●,●,●,●,●,●,●,●,●,-,-,-,●,●
主动安全,アクティブセーフティ,DOW开门预警,ドアオープン警報(DOW),-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,前方碰撞预警,前方衝突警告,○,○,●,○,○,○,○,●,●,●,-,●,●,●,●
主动安全,アクティブセーフティ,后方碰撞预警,後方衝突警告,-,-,-,-,-,-,-,-,-,-,-,-,-,●,●
主动安全,アクティブセーフティ,内置行车记录仪,内蔵ドライブレコーダー,-,-,-,-,-,-,-,-,-,-,-,●,●,●,●
主动安全,アクティブセーフティ,道路救援呼叫,緊急通報(eCall),-,-,-,-,-,-,-,-,-,-,●,●,●,●,●
驾驶操控,ドライビングコントロール,驾驶模式切换,ドライブモード切替,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化,● スポーツ 経済 標準/快適 カスタム/個性化
驾驶操控,ドライビングコントロール,发动机启停技术,エンジンスタートストップ機能,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,能量回收系统,エネルギー回生システム,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,自动驻车,オートホールド,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶操控,ドライビングコントロール,上坡辅助,ヒルスタートアシスト,●,●,●,●,●,●,●,●,●,●,●,●,●,●,●
驾驶硬件,運転ハードウェア,前/后驻车雷达,前/後パーキングセンサー,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席,● 前席/後席
驾驶硬件,運転ハードウェア,驾驶辅助影像,運転支援映像,● バックカメラ,● バックカメラ,バックカメラ 360度全方位カメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,● バックカメラ,バックカメラ 360度全方位カメラ（3500元）,バックカメラ 360度全方位カメラ（3500元）,バックカメラ 360度全方位カメラ（3500元）,● 360度全方位カメラ
驾驶硬件,運転ハードウェア,透明底盘/540度影像,透明シャーシ/540度カメラ映像,-,-,○,-,-,-,-,-,-,-,-,-,-,-,-
驾驶硬件,運転ハードウェア,前方感知摄像头,前方検知カメラ,-,○ 単眼カメラ,● 単眼カメラ,○ 単眼カメラ,-,○ 単眼カメラ,○ 単眼カメラ,● 単眼カメラ,● 単眼カメラ,● 単眼カメラ,-,● 単眼カメラ,● 単眼カメラ,単眼カメラ 複眼カメラ,● 単眼カメラ 複眼カメラ
驾驶硬件,運転ハードウェア,摄像头数量,カメラ数,● 1個,1個 2個,2個 5個,1個 2個,● 1個,1個 2個,1個 2個,● 2個,● 2個,● 2個,● 1個,2個 5個,2個 5個,2個 7個,● 7個
驾驶硬件,運転ハードウェア,车内摄像头数量,車内カメラ数,-,-,-,-,-,-,-,-,-,-,-,-,-,● 1個,● 1個
驾驶硬件,運転ハードウェア,超声波雷达数量,超音波センサー数,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 8個,● 12個,● 12個
驾驶功能,運転機能,巡航系统,クルーズコントロールシステム,定速クルーズ 全速度適応クルーズ,定速クルーズ 全速度適応クルーズ,● 全速度適応クルーズ,定速クルーズ 全速度適応クルーズ,定速クルーズ 全速度適応クルーズ,定速クルーズ 全速度適応クルーズ,定速クルーズ 全速度適応クルーズ,● 全速度適応クルーズ,● 全速度適応クルーズ,● 全速度適応クルーズ,● 定速クルーズ,● 全速度適応クルーズ,● 全速度適応クルーズ,● 全速度適応クルーズ,● 全速度適応クルーズ
